wavelength,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700
sw,0.1575544719,0.1852543233,0.2141273021,0.2442048052,0.2755155549,0.3080853603,0.3419370821,0.377090514,0.4135622735,0.4513658356,0.4905112279,0.5071640766,0.524166193,0.5415069198,0.5591746169,0.5771569706,0.595440825,0.6140122514,0.632856625,0.6519584334,0.6713016174,0.6847181001,0.6981260425,0.7115093009,0.7248516671,0.7381368807,0.7513486397,0.7644706084,0.7774864234,0.7903796972,0.80313402,0.8148533662,0.8263775973,0.8376909751,0.8487777949,0.8596223806,0.8702090787,0.8805222517,0.8905462725,0.9002655188,0.9096643687,0.9183449708,0.9266673621,0.9346163106,0.9421768333,0.9493337549,0.9560720154,0.96237661,0.9682325298,0.9736250944,0.9785395163,0.9830775474,0.9871094217,0.9906206814,0.9935973903,0.9960259562,0.9978929542,0.9991856717,0.9998918654,1,0.9994990142,0.9980852973,0.9960445258,0.9933691985,0.9900525904,0.9860894801,0.9814756926,0.9762084303,0.9702865935,0.9637103228,0.9564816943,0.9488546696,0.9405795681,0.9316630808,0.9221137575,0.9119420341,0.9011602457,0.8897826254,0.8778252867,0.86530619,0.8522450928,0.8382965686,0.8238634552,0.8089709127,0.7936457576,0.7779158231,0.7618102679,0.7453592372,0.7285935382,0.7115448967,0.6942453335,0.6767471613,0.6590622942,0.64122348,0.6232633755,0.6052144047,0.5871085793,0.5689775622,0.5508522731,0.5327629769,0.5147391461,0.4970117751,0.4793915723,0.4619053997,0.4445791237,0.4274375767,0.410504494,0.3938026197,0.3773534909,0.3611775555,0.3452941256,0.3295878364,0.3142217127,0.29921113,0.2845703272,0.2703122496,0.2564486298,0.2429899449,0.2299453783,0.217322872,0.2051289947,0.1933634146,0.1820362513,0.1711500117,0.1607058246,0.1507034179,0.1411411577,0.1320160864,0.1233239259,0.1150591008,0.1072148133,0.0997917699,0.0927710575,0.0861427462,0.0798959906,0.0740191184,0.0684997522,0.0633249278,0.058481194,0.0539547151,0.0497313935,0.0457903898,0.0421250436,0.0387209827,0.0355639622,0.0326399577,0.0299352314,0.027436404,0.0251304932,0.0230049664,0.0210477811,0.0192507255,0.0175988998,0.0160819148,0.0146899244,0.013413626,0.0122442567,0.0111735842,0.0101938948,0.0092979784,0.0084791104,0.0077305885,0.0070471227,0.0064233137,0.0058541647,0.0053350589,0.0048617361,0.0044302722,0.0040370559,0.0036787687,0.0033523635,0.0030543454,0.0027829794,0.0025359046,0.0023109624,0.0021061799,0.0019197556,0.0017500447,0.0015955474,0.001454896,0.0013268438,0.001210464,0.0011044774,0.0010079476,0.000920022,0.000839925,0.0007669506,0.0007004568,0.0006398593,0.0005846272,0.0005342775,0.0004882868,0.0004463544,0.0004081152,0.0003732375,0.0003414197,0.0003123876,0.000285892,0.0002617063,0.0002396244,0.000219459,0.000201086,0.0001842964,0.0001689505,0.0001549209,0.0001420917,0.0001303575,0.0001196224,0.0001097989,0.0001008076,9.25758648257472E-005,8.50280962056598E-005,7.81154560493867E-005,0.000071783,6.59805105401699E-005,6.06624427287478E-005,5.57871243788176E-005,5.1316596781742E-005,4.72162379161509E-005,4.34544767604921E-005,4.00024974544143E-005,3.68318982880457E-005,3.39211209706076E-005,3.12482130441031E-005,2.87931288664012E-005,2.65375598798382E-005,2.44647802984069E-005,2.25595068027438E-005,2.08077709409265E-005,1.91968030694561E-005,1.7714926764547E-005,1.63514627557019E-005,1.50966414894017E-005,1.39415235460694E-005,1.28779271835162E-005,1.18983623569631E-005,0.000010996,1.01644704323098E-005,9.39810717215176E-006,8.69160779149891E-006,8.0401393236582E-006,7.4403354895216E-006,6.88691050294802E-006,6.3761558943331E-006,5.90467052389519E-006,5.46933155213405E-006,5.06727282998422E-006,4.69586273021271E-006,4.35268405358556E-006,4.03551734549011E-006,3.74232231970299E-006,3.47033154058296E-006,3.21884372411224E-006,2.98625943737991E-006,2.771108100226E-006,0.000002572,2.38780441283978E-006,2.21726349843527E-006,2.05936139973176E-006,1.91312862209319E-006,1.77767247406412E-006,1.65254853873799E-006,1.53656836372912E-006,0.000001429,1.3293246444698E-006,1.23683502207661E-006,0.000001151,1.07140486244218E-006,9.97502248625684E-007,9.28894852264513E-007,8.65189570535892E-007,8.05931204918557E-007,7.50889292617604E-007,6.99752904782056E-007,6.52234823034994E-007,6.08069676310584E-007,0.000000567,5.2883576800567E-007,4.93330735009908E-007,4.60303309994312E-007,4.29574229804243E-007,4.01057826706146E-007,3.74509843469208E-007,3.49789315323762E-007,3.26765726539932E-007,3.05318261821128E-007,2.85335004229945E-007,2.66712221214112E-007,2.49353789838144E-007,2.33170657234408E-007,2.18080262306214E-007,2.03942039224488E-007,1.90757192837177E-007,1.78459047331532E-007,0.000000167,1.56279769938382E-007,1.46287979257328E-007,0.000000137,1.28252591974636E-007,1.20120488231924E-007,1.12525013326807E-007
lw,0.0698812381,0.0798598731,0.0897622484,0.0996098687,0.1094255771,0.119233479,0.1290589431,0.1389285592,0.1488700944,0.1589124931,0.1690857488,0.1713652816,0.1738068585,0.1764209578,0.1792180792,0.1822088221,0.1854038043,0.1888136608,0.1924490414,0.1963205267,0.2004387065,0.2029904957,0.205767475,0.2087740715,0.212014489,0.2154926975,0.2192124235,0.2231771403,0.2273900583,0.2318541151,0.2365719665,0.2412855209,0.2462470645,0.2514575748,0.2569177115,0.2626278105,0.2685878773,0.2747975819,0.2812562536,0.2879628763,0.2949160854,0.3019884721,0.3092976939,0.3168410131,0.3246154153,0.3326174596,0.3408433789,0.349289058,0.357950007,0.3668214796,0.3758983075,0.3852205927,0.3947391919,0.4044479907,0.4143406541,0.4244105455,0.4346506325,0.4450536976,0.455612216,0.4663184374,0.4771642509,0.487997871,0.4989479483,0.5100057603,0.5211622392,0.5324083067,0.543734604,0.5551316246,0.5665898639,0.5780995251,0.5896508899,0.6013927325,0.6131623958,0.6249498487,0.6367449986,0.6485377035,0.660317782,0.6720750231,0.6837991959,0.6954800574,0.7071073599,0.7183564389,0.7295218326,0.7405933269,0.7515609707,0.7624146157,0.773144327,0.7837402116,0.7941922313,0.8044906323,0.814625448,0.8246110066,0.834414028,0.8440247511,0.8534334402,0.8626303816,0.8716058116,0.8803501867,0.888853771,0.8971069057,0.905099939,0.9131950929,0.921016812,0.9285551027,0.9357999614,0.9427413773,0.9493692624,0.9556737535,0.9616447762,0.9672723494,0.9725465238,0.9770615459,0.9812001857,0.984953076,0.9883111976,0.9912654428,0.9938069489,0.9959270513,0.9976172377,0.9988694952,0.9996758801,1,0.9998635248,0.9992598669,0.9981829162,0.9966269325,0.9945867515,0.9920579896,0.9890369391,0.9855204641,0.9815062071,0.9770774619,0.9721480115,0.9667181403,0.9607890925,0.9543629623,0.9474428816,0.9400331967,0.9321393429,0.9237677191,0.9149258498,0.9054921606,0.8956096659,0.8852896652,0.8745443428,0.8633870233,0.8518320029,0.8398947737,0.8275915762,0.8149395484,0.8019568507,0.7887984461,0.7753428804,0.7616101107,0.7476206372,0.7333954177,0.7189557795,0.7043233301,0.6895198676,0.6745672903,0.659487509,0.6442653371,0.6289612483,0.6135966943,0.5981928095,0.5827703862,0.567349628,0.5519503659,0.536591821,0.5212926057,0.5060706833,0.4908307176,0.4757088632,0.4607207988,0.4458815586,0.4312053736,0.4167057392,0.4023952859,0.388285983,0.374389044,0.3607148555,0.347332956,0.3341880593,0.3212885895,0.3086423082,0.2962563785,0.2841373285,0.2722910269,0.2607227478,0.2494372239,0.2384386134,0.2276913043,0.2172410909,0.2070903233,0.1972407654,0.1876936987,0.1784498595,0.1695094596,0.1608722008,0.152537228,0.1445032081,0.1367996634,0.129389438,0.1222698772,0.1154378027,0.1088895818,0.1026211011,0.0966277922,0.090904658,0.0854462661,0.0802468165,0.0752915216,0.0705835784,0.0661160991,0.06188195,0.0578737551,0.054083955,0.0505048389,0.0471285786,0.0439472805,0.0409530001,0.0381356093,0.0354896792,0.0330073287,0.0306807707,0.0285023394,0.0264645161,0.0245599512,0.0227814842,0.0211221609,0.0195752478,0.0181342439,0.0167928896,0.0155451745,0.0143853409,0.0133078872,0.0123075681,0.0113793937,0.0105186268,0.009720779,0.0089816054,0.0082982861,0.0076656758,0.0070802408,0.0065386619,0.0060378226,0.0055748031,0.0051468706,0.0047514702,0.0043862174,0.0040488868,0.0037364441,0.0034480688,0.0031819484,0.002936399,0.0027098577,0.0025008748,0.0023081058,0.002130305,0.0019663196,0.0018150824,0.0016759895,0.0015476863,0.001429336,0.0013201655,0.001219461,0.0011265633,0.0010408636,0.0009618004,0.0008888555,0.000821551,0.0007593594,0.0007019742,0.0006490193,0.0006001479,0.0005550405,0.0005134028,0.0004749636,0.0004394729,0.0004067005,0.0003764343,0.0003485487,0.0003227837,0.0002989747,0.00027697,0.0002566298,0.0002378255,0.0002204384,0.0002043592,0.0001894871,0.0001757294,0.0001629492,0.0001511263,0.0001401871,0.0001300639,0.0001206942,0.0001120204,0.0001039894,9.65522896640294E-005,8.9663935198867E-005,8.32827162523288E-005
rod,0.0784847878,0.0908315657,0.1034344551,0.1163320901,0.1295640783,0.1431708519,0.1571936091,0.1716742047,0.1866550368,0.2021789904,0.2182892188,0.2244767713,0.2309879322,0.237832837,0.2450212356,0.2525625889,0.2604659551,0.2687399816,0.2773928998,0.2864324035,0.2958657603,0.3029778407,0.3103749893,0.3180559243,0.3260188858,0.3342616335,0.3427814456,0.3515751191,0.3606389713,0.369968842,0.3795600981,0.3889877452,0.3986460353,0.4085282816,0.4186273852,0.428935847,0.4394457814,0.4501489301,0.4610366771,0.4721000647,0.4833298104,0.4945105025,0.5058288609,0.5172745467,0.5288371096,0.5405057609,0.5522695558,0.5641173722,0.5760378837,0.5880197615,0.6000514187,0.6121936366,0.6243650987,0.6365539042,0.6487482391,0.6609362462,0.6731058776,0.6852452201,0.6973422983,0.7093851923,0.7213618216,0.7330446606,0.7446306573,0.7561081232,0.7674651759,0.7786902178,0.7897715162,0.8006973805,0.8114563542,0.8220367696,0.832427256,0.8428387237,0.8530424388,0.863026817,0.872780286,0.8822912817,0.8915482438,0.9005396121,0.9092538236,0.9176793099,0.9258044961,0.9332093433,0.9402846998,0.9470192799,0.9534021174,0.9594219785,0.9650678941,0.9703289506,0.975194074,0.9796525833,0.9836935993,0.98733543,0.9905390032,0.9932940458,0.9955905137,0.9974186315,0.9987688563,0.9996322384,1,0.9998639015,0.9992162188,0.99845639,0.997169813,0.9953500182,0.9929912863,0.9900887137,0.9866381999,0.9826368218,0.9780824316,0.9729740275,0.9673117338,0.9607076299,0.9535593755,0.9458713527,0.9376494632,0.9289007099,0.9196335123,0.9098576416,0.8995841504,0.8888256451,0.8775958423,0.8658848246,0.8537345643,0.8411627026,0.8281880181,0.8148302294,0.8011100536,0.7870492425,0.7726703586,0.7579965576,0.7430516117,0.7279229958,0.7125696158,0.697016489,0.6812888069,0.6654117204,0.6494103455,0.6333097571,0.61713478,0.6009098006,0.5846587824,0.5683234467,0.5520131987,0.5357503715,0.5195564477,0.5034521869,0.4874575026,0.4715915834,0.4558726376,0.4403179975,0.4249442081,0.4098375966,0.3949368905,0.3802560085,0.3658080021,0.3516050687,0.3376585668,0.3239790326,0.3105761977,0.2974590071,0.2846356359,0.2720978694,0.2598694377,0.2479562426,0.2363634698,0.225095615,0.2141564206,0.2035489869,0.1932757042,0.1833382722,0.1737377017,0.1644365865,0.1554764115,0.1468558706,0.138573017,0.1306252194,0.1230091947,0.1157209822,0.1087560194,0.1021091311,0.0957745328,0.0897613597,0.0840453502,0.078619317,0.0734756263,0.0686062523,0.0640028111,0.0596566005,0.0555586629,0.0516998443,0.0480708363,0.0446545373,0.0414502643,0.0384484444,0.0356395432,0.033014127,0.0305628889,0.0282766892,0.0261465889,0.0241638708,0.0223200763,0.0206117461,0.0190255255,0.0175539013,0.016189663,0.0149259183,0.0137560913,0.0126739255,0.0116734836,0.0107491404,0.0098955837,0.0091067606,0.0083791652,0.0077083481,0.0070901393,0.0065206339,0.0059961826,0.0055133798,0.0050690511,0.0046602429,0.0042842082,0.003938171,0.0036200268,0.0033275786,0.0030587921,0.0028117854,0.0025848194,0.0023762874,0.0021847067,0.0020087096,0.0018470354,0.0016985223,0.0015621006,0.0014367856,0.0013216715,0.0012159248,0.0011187795,0.0010295316,0.000947534,0.0008721924,0.000802961,0.0007394445,0.0006810601,0.0006273877,0.0005780414,0.0005326671,0.00049094,0.0004525617,0.0004172588,0.0003847802,0.0003548955,0.0003273092,0.0003019247,0.0002785624,0.0002570578,0.0002372597,0.0002190297,0.0002022406,0.0001867759,0.0001725284,0.0001594,0.0001473343,0.0001362097,0.0001259509,0.0001164887,0.0001077596,9.97052280542348E-005,0.000092272,8.54106589933276E-005,0.000079076,7.32263343502833E-005,6.78158020249142E-005,6.28181300452817E-005,5.8200889514545E-005,5.39342639846243E-005,4.99908345315606E-005,4.63453827970141E-005,4.29747104668989E-005,3.98574738146418E-005,0.000036974,3.43063082004922E-005,0.000031844,2.95645926823502E-005,0.000027454,2.54993232426592E-005,2.36886974172962E-005,2.20111609931498E-005,2.04566136218159E-005,1.90157442170937E-005,0.00001768,1.64413767233179E-005,1.52878637298624E-005,1.42181589673718E-005,0.000013226,1.23055068776413E-005,1.14514004900649E-005,1.06587115079137E-005,9.92287526505489E-006,9.23967904202718E-006,8.60522911698291E-006,8.01593137729633E-006
