Label,pattern_size,pattern_energy
DSC_0550_RAB419d,51,881.147419869
DSC_0550_RAB419d,56,848.620919535
DSC_0550_RAB419d,61,813.170017576
DSC_0550_RAB419d,66,777.990775313
DSC_0550_RAB419d,71,744.970036202
DSC_0550_RAB419d,76,714.999815190
DSC_0550_RAB419d,81,688.287247934
DSC_0550_RAB419d,86,664.625767549
DSC_0550_RAB419d,91,643.605377803
DSC_0550_RAB419d,96,624.757053617
DSC_0550_RAB419d,101,607.636980458
DSC_0550_RAB419d,106,591.866762968
DSC_0550_RAB419d,111,577.144614161
DSC_0550_RAB419d,116,563.241144296
DSC_0554_RAB421v,1,289.049312948
DSC_0554_RAB421v,6,1092.662630081
DSC_0554_RAB421v,11,1216.517759176
DSC_0554_RAB421v,16,1324.167986287
DSC_0554_RAB421v,21,1501.819297909
DSC_0554_RAB421v,26,1699.799644424
DSC_0554_RAB421v,31,1841.054160667
DSC_0554_RAB421v,36,1902.818945490
DSC_0554_RAB421v,41,1886.871278788
DSC_0554_RAB421v,46,1806.041336331
DSC_0554_RAB421v,51,1679.343240875
DSC_0554_RAB421v,56,1527.286478066
DSC_0554_RAB421v,61,1368.078753967
DSC_0554_RAB421v,66,1215.569483262
DSC_0554_RAB421v,71,1078.716528506
DSC_0554_RAB421v,76,961.997413320
DSC_0554_RAB421v,81,866.291637940
DSC_0554_RAB421v,86,789.953546004
DSC_0554_RAB421v,91,729.902938756
DSC_0554_RAB421v,96,682.579722824
DSC_0554_RAB421v,101,644.631664166
DSC_0554_RAB421v,106,613.287721354
DSC_0554_RAB421v,111,586.465328381
DSC_0554_RAB421v,116,562.712616954
DSC_0604_RAB471d,1,360.601283946
DSC_0604_RAB471d,6,773.506058940
DSC_0604_RAB471d,11,724.210871955
DSC_0604_RAB471d,16,747.023787116
DSC_0604_RAB471d,21,776.598588360
DSC_0604_RAB471d,26,804.523012282
DSC_0604_RAB471d,31,830.632964154
DSC_0604_RAB471d,36,851.898614715
DSC_0604_RAB471d,41,866.458281166
DSC_0604_RAB471d,46,874.936461723
DSC_0604_RAB471d,51,878.832741922
DSC_0604_RAB471d,56,879.282605789
