Label,pattern_size,pattern_energy
DSC_0550_RAB419d,51,889.035854348
DSC_0550_RAB419d,56,870.741672324
DSC_0550_RAB419d,61,849.149182721
DSC_0550_RAB419d,66,826.819429445
DSC_0550_RAB419d,71,805.086159150
DSC_0550_RAB419d,76,784.463124620
DSC_0550_RAB419d,81,764.992353249
DSC_0550_RAB419d,86,746.498280382
DSC_0550_RAB419d,91,728.746432607
DSC_0550_RAB419d,96,711.526984780
DSC_0550_RAB419d,101,694.686634150
DSC_0550_RAB419d,106,678.131694409
DSC_0550_RAB419d,111,661.817910775
DSC_0550_RAB419d,116,645.736448061
DSC_0554_RAB421v,1,335.248220476
DSC_0554_RAB421v,6,1097.201028322
DSC_0554_RAB421v,11,1160.431915725
DSC_0554_RAB421v,16,1200.483542218
DSC_0554_RAB421v,21,1327.925124915
DSC_0554_RAB421v,26,1515.232526917
DSC_0554_RAB421v,31,1664.554726132
DSC_0554_RAB421v,36,1740.057891664
DSC_0554_RAB421v,41,1740.626458355
DSC_0554_RAB421v,46,1678.349957608
DSC_0554_RAB421v,51,1571.042439028
DSC_0554_RAB421v,56,1437.701986371
DSC_0554_RAB421v,61,1295.245552966
DSC_0554_RAB421v,66,1156.732638101
DSC_0554_RAB421v,71,1030.888388093
DSC_0554_RAB421v,76,922.447606019
DSC_0554_RAB421v,81,832.891813766
DSC_0554_RAB421v,86,761.325622130
DSC_0554_RAB421v,91,705.365561807
DSC_0554_RAB421v,96,661.952253815
DSC_0554_RAB421v,101,627.993463996
DSC_0554_RAB421v,106,600.775928411
DSC_0554_RAB421v,111,578.148797408
DSC_0554_RAB421v,116,558.538141087
DSC_0604_RAB471d,1,358.891889728
DSC_0604_RAB471d,6,761.742903971
DSC_0604_RAB471d,11,708.967140750
DSC_0604_RAB471d,16,734.058339031
DSC_0604_RAB471d,21,767.683553231
DSC_0604_RAB471d,26,797.182798201
DSC_0604_RAB471d,31,825.738035391
DSC_0604_RAB471d,36,852.050541103
DSC_0604_RAB471d,41,873.975540401
DSC_0604_RAB471d,46,890.852740961
DSC_0604_RAB471d,51,902.875297359
DSC_0604_RAB471d,56,910.342027440
DSC_0604_RAB471d,61,913.479570314
DSC_0604_RAB471d,66,912.526843230
DSC_0604_RAB471d,71,907.810551621
DSC_0604_RAB471d,76,899.745158075
DSC_0604_RAB471d,81,888.787756012
DSC_0604_RAB471d,86,875.388107330
DSC_0604_RAB471d,91,859.953945170
DSC_0604_RAB471d,96,842.836723944
DSC_0604_RAB471d,101,824.331931927
DSC_0604_RAB471d,106,804.689295067
DSC_0604_RAB471d,111,784.125664504
DSC_0604_RAB471d,116,762.836863016
