Label,pattern_size,pattern_energy
DSC_0550_RAB419d,36,1302.734671091
DSC_0550_RAB419d,41,1321.349264209
DSC_0550_RAB419d,46,1309.173470423
DSC_0550_RAB419d,51,1274.426478278
DSC_0550_RAB419d,56,1225.644867735
DSC_0550_RAB419d,61,1170.064888843
DSC_0550_RAB419d,66,1113.096610504
DSC_0550_RAB419d,71,1058.336763880
DSC_0550_RAB419d,76,1007.836385861
DSC_0550_RAB419d,81,962.470124393
DSC_0550_RAB419d,86,922.314058849
DSC_0550_RAB419d,91,886.972051178
DSC_0550_RAB419d,96,855.823269051
DSC_0550_RAB419d,101,828.186744486
DSC_0550_RAB419d,106,803.417476779
DSC_0550_RAB419d,111,780.952545608
DSC_0550_RAB419d,116,760.326086183
DSC_0554_RAB421v,1,383.234167300
DSC_0554_RAB421v,6,1513.799524273
DSC_0554_RAB421v,11,1711.563023966
DSC_0554_RAB421v,16,1873.233274608
DSC_0554_RAB421v,21,2159.250544017
DSC_0554_RAB421v,26,2486.050477263
DSC_0554_RAB421v,31,2720.996363280
DSC_0554_RAB421v,36,2824.977846579
DSC_0554_RAB421v,41,2805.925340351
DSC_0554_RAB421v,46,2690.282964408
DSC_0554_RAB421v,51,2511.004070101
DSC_0554_RAB421v,56,2300.135027462
DSC_0554_RAB421v,61,2084.148531327
DSC_0554_RAB421v,66,1881.781971144
DSC_0554_RAB421v,71,1703.849158493
DSC_0554_RAB421v,76,1554.357646732
DSC_0554_RAB421v,81,1432.344613344
DSC_0554_RAB421v,86,1333.922382962
DSC_0554_RAB421v,91,1254.087608608
DSC_0554_RAB421v,96,1187.995536595
DSC_0554_RAB421v,101,1131.629239862
DSC_0554_RAB421v,106,1081.991236921
DSC_0554_RAB421v,111,1037.014664734
DSC_0554_RAB421v,116,995.363034090
DSC_0604_RAB471d,1,459.291568008
DSC_0604_RAB471d,6,1000.716843293
DSC_0604_RAB471d,11,1022.425477400
DSC_0604_RAB471d,16,1077.710042861
DSC_0604_RAB471d,21,1115.386823776
DSC_0604_RAB471d,26,1138.549061012
DSC_0604_RAB471d,31,1152.836660058
DSC_0604_RAB471d,36,1157.595478964
DSC_0604_RAB471d,41,1152.514242379
DSC_0604_RAB471d,46,1140.311640748
DSC_0604_RAB471d,51,1124.495424150
DSC_0604_RAB471d,56,1107.441548815
DSC_0604_RAB471d,61,1090.121543256
DSC_0604_RAB471d,66,1072.637534338
DSC_0604_RAB471d,71,1054.772942209
DSC_0604_RAB471d,76,1036.297107238
DSC_0604_RAB471d,81,1017.064231470
DSC_0604_RAB471d,86,997.011249405
DSC_0604_RAB471d,91,976.127075039
DSC_0604_RAB471d,96,954.427896848
DSC_0604_RAB471d,101,931.945195556
DSC_0604_RAB471d,106,908.725099261
DSC_0604_RAB471d,111,884.832816867
DSC_0604_RAB471d,116,860.356708503
DSC_0608_RAB471v,1,351.682865426
DSC_0608_RAB471v,6,1070.251418872
DSC_0608_RAB471v,11,1255.609992595
DSC_0608_RAB471v,16,1228.559626032
DSC_0608_RAB471v,21,1260.429704563
DSC_0608_RAB471v,26,1342.424141914
DSC_0608_RAB471v,31,1396.303897628
DSC_0608_RAB471v,36,1395.639560225
DSC_0608_RAB471v,41,1349.603679357
DSC_0608_RAB471v,46,1275.668547119
DSC_0608_RAB471v,51,1188.316952842
DSC_0608_RAB471v,56,1097.173138142
DSC_0608_RAB471v,61,1007.926943831
