Label,pattern_size,pattern_energy
DSC_0550_RAB419d,36,1242.445815395
DSC_0550_RAB419d,41,1268.516844680
DSC_0550_RAB419d,46,1268.028664205
DSC_0550_RAB419d,51,1248.044597254
DSC_0550_RAB419d,56,1216.026495000
DSC_0550_RAB419d,61,1178.076209310
DSC_0550_RAB419d,66,1138.469762140
DSC_0550_RAB419d,71,1099.798790897
DSC_0550_RAB419d,76,1063.354553219
DSC_0550_RAB419d,81,1029.556877520
DSC_0550_RAB419d,86,998.325498874
DSC_0550_RAB419d,91,969.349838199
DSC_0550_RAB419d,96,942.257915437
DSC_0550_RAB419d,101,916.704468417
DSC_0550_RAB419d,106,892.406524523
DSC_0550_RAB419d,111,869.148920066
DSC_0550_RAB419d,116,846.776355146
DSC_0554_RAB421v,1,461.346631887
DSC_0554_RAB421v,6,1493.386693670
DSC_0554_RAB421v,11,1606.105375103
DSC_0554_RAB421v,16,1689.541214655
DSC_0554_RAB421v,21,1923.840962591
DSC_0554_RAB421v,26,2236.847139745
DSC_0554_RAB421v,31,2477.812962756
DSC_0554_RAB421v,36,2597.111794706
DSC_0554_RAB421v,41,2598.295598056
DSC_0554_RAB421v,46,2504.777029181
DSC_0554_RAB421v,51,2346.763128925
DSC_0554_RAB421v,56,2154.138255842
DSC_0554_RAB421v,61,1952.134978083
DSC_0554_RAB421v,66,1759.299225714
DSC_0554_RAB421v,71,1587.218925959
DSC_0554_RAB421v,76,1441.351303344
DSC_0554_RAB421v,81,1322.406133768
DSC_0554_RAB421v,86,1227.919911701
DSC_0554_RAB421v,91,1153.754225161
DSC_0554_RAB421v,96,1095.310163282
DSC_0554_RAB421v,101,1048.334386170
DSC_0554_RAB421v,106,1009.320898233
DSC_0554_RAB421v,111,975.608731424
DSC_0554_RAB421v,116,945.304141668
DSC_0604_RAB471d,1,457.762273304
DSC_0604_RAB471d,6,989.461741907
DSC_0604_RAB471d,11,1002.985734299
DSC_0604_RAB471d,16,1064.263130117
DSC_0604_RAB471d,21,1105.884235271
DSC_0604_RAB471d,26,1129.252844337
DSC_0604_RAB471d,31,1145.016399081
DSC_0604_RAB471d,36,1154.701595918
DSC_0604_RAB471d,41,1157.710233689
DSC_0604_RAB471d,46,1155.221989725
DSC_0604_RAB471d,51,1149.084688596
DSC_0604_RAB471d,56,1140.522949696
DSC_0604_RAB471d,61,1129.967883183
DSC_0604_RAB471d,66,1117.432522987
DSC_0604_RAB471d,71,1102.862070364
DSC_0604_RAB471d,76,1086.291100069
DSC_0604_RAB471d,81,1067.858574819
DSC_0604_RAB471d,86,1047.767070838
DSC_0604_RAB471d,91,1026.237524106
DSC_0604_RAB471d,96,1003.480563388
DSC_0604_RAB471d,101,979.684238416
DSC_0604_RAB471d,106,955.015154348
DSC_0604_RAB471d,111,929.625593223
DSC_0604_RAB471d,116,903.661807439
DSC_0608_RAB471v,1,359.843699312
DSC_0608_RAB471v,6,1088.643535733
DSC_0608_RAB471v,11,1291.967416407
DSC_0608_RAB471v,16,1276.193575725
DSC_0608_RAB471v,21,1297.203473242
DSC_0608_RAB471v,26,1371.261562984
DSC_0608_RAB471v,31,1424.265832944
DSC_0608_RAB471v,36,1424.220929952
DSC_0608_RAB471v,41,1378.813635594
DSC_0608_RAB471v,46,1306.011751075
DSC_0608_RAB471v,51,1220.680715144
DSC_0608_RAB471v,56,1132.389548200
DSC_0608_RAB471v,61,1046.523458798
DSC_0608_RAB471v,66,965.699460593
DSC_0608_RAB471v,71,890.879199724
